2026-06-16 15:38:47.719 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2026-06-16 15:38:48.437 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-16 15:38:48.445 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-16 15:38:48.446 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16 15:38:48.446 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-06-16 15:38:48.521 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-16 15:38:48.521 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1479 ms
2026-06-16 15:38:48.923 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-16 15:38:50.733 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-16 15:38:54.403 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-16 15:38:54.433 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-16 15:38:54.468 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-16 15:38:54.484 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 8.102 seconds (JVM running for 8.537)
2026-06-16 15:39:07.435 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-16 15:39:07.438 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-16 15:39:07.443 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2026-06-16 15:45:10.510 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2026-06-16 15:45:10.520 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2026-06-16 15:45:13.105 [restartedMain] INFO  com.project.travel.TravelApplication - Starting TravelApplication using Java 1.8.0_202 on dilireba with PID 43404 (C:\maven\travel_system\travel\travel\travel-server\target\classes started by solitude in C:\maven\travel_system\travel\travel\travel-server)
2026-06-16 15:45:13.107 [restartedMain] INFO  com.project.travel.TravelApplication - The following 1 profile is active: "dev"
2026-06-16 15:45:13.198 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-16 15:45:13.198 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-16 15:45:13.734 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-16 15:45:13.736 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-16 15:45:13.760 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2026-06-16 15:45:14.430 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-16 15:45:14.440 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-16 15:45:14.441 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16 15:45:14.441 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-06-16 15:45:14.510 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-16 15:45:14.510 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1312 ms
2026-06-16 15:45:14.880 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-16 15:45:16.720 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-16 15:45:19.577 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-16 15:45:19.606 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-16 15:45:19.645 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-16 15:45:19.655 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 7.042 seconds (JVM running for 7.504)
2026-06-16 15:45:38.439 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-16 15:45:38.440 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-16 15:45:38.445 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2026-06-16 15:54:20.189 [http-nio-8080-exec-61] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2026-06-16 15:56:31.100 [http-nio-8080-exec-68] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:56:46.595 [http-nio-8080-exec-82] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:56:48.452 [http-nio-8080-exec-84] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:56:49.337 [http-nio-8080-exec-86] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:56:53.309 [http-nio-8080-exec-90] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:04.356 [http-nio-8080-exec-95] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:10.465 [http-nio-8080-exec-2] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:22.475 [http-nio-8080-exec-3] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:23.206 [http-nio-8080-exec-8] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:23.482 [http-nio-8080-exec-9] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:23.646 [http-nio-8080-exec-6] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:24.251 [http-nio-8080-exec-11] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:29.005 [http-nio-8080-exec-17] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:33.029 [http-nio-8080-exec-21] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:39.860 [http-nio-8080-exec-29] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:57:59.350 [http-nio-8080-exec-35] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:58:18.404 [http-nio-8080-exec-38] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:58:19.536 [http-nio-8080-exec-41] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:58:39.849 [http-nio-8080-exec-46] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:58:41.559 [http-nio-8080-exec-48] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:59:01.104 [http-nio-8080-exec-56] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:59:07.273 [http-nio-8080-exec-59] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 15:59:14.931 [http-nio-8080-exec-64] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:02:48.226 [http-nio-8080-exec-14] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:02:54.732 [http-nio-8080-exec-16] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:02:54.740 [http-nio-8080-exec-16] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2026-06-16 16:27:08.225 [http-nio-8080-exec-76] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:27:14.275 [http-nio-8080-exec-79] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:27:14.282 [http-nio-8080-exec-79] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2026-06-16 16:45:42.972 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2026-06-16 16:45:43.000 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2026-06-16 16:47:47.275 [restartedMain] INFO  com.project.travel.TravelApplication - Starting TravelApplication using Java 1.8.0_202 on dilireba with PID 29800 (C:\maven\travel_system\travel\travel\travel-server\target\classes started by solitude in C:\maven\travel_system\travel\travel\travel-server)
2026-06-16 16:47:47.275 [restartedMain] INFO  com.project.travel.TravelApplication - The following 1 profile is active: "dev"
2026-06-16 16:47:47.345 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-16 16:47:47.345 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-16 16:47:47.981 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-16 16:47:47.984 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-16 16:47:48.014 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2026-06-16 16:47:48.772 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-16 16:47:48.779 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-16 16:47:48.780 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16 16:47:48.781 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-06-16 16:47:48.859 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-16 16:47:48.859 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1514 ms
2026-06-16 16:47:49.306 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-16 16:47:50.690 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-16 16:47:54.501 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-16 16:47:54.532 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-16 16:47:54.564 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-16 16:47:54.578 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 7.823 seconds (JVM running for 8.33)
2026-06-16 16:48:09.120 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-16 16:48:09.121 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-16 16:48:09.123 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-06-16 16:48:22.067 [http-nio-8080-exec-15] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:48:35.593 [http-nio-8080-exec-28] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:50:08.898 [http-nio-8080-exec-30] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:50:12.473 [http-nio-8080-exec-34] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:50:14.305 [http-nio-8080-exec-38] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:50:16.397 [http-nio-8080-exec-42] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:50:20.284 [http-nio-8080-exec-46] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:50:23.358 [http-nio-8080-exec-50] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:51:43.020 [http-nio-8080-exec-63] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:56:28.148 [http-nio-8080-exec-97] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:56:32.091 [http-nio-8080-exec-1] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:56:33.965 [http-nio-8080-exec-7] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:56:36.061 [http-nio-8080-exec-9] INFO  com.project.travel.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2026-06-16 16:58:35.123 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2026-06-16 16:58:35.131 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2026-06-16 16:58:42.754 [restartedMain] INFO  com.project.travel.TravelApplication - Starting TravelApplication using Java 1.8.0_202 on dilireba with PID 38632 (C:\maven\travel_system\travel\travel\travel-server\target\classes started by solitude in C:\maven\travel_system\travel\travel\travel-server)
2026-06-16 16:58:42.756 [restartedMain] INFO  com.project.travel.TravelApplication - The following 1 profile is active: "dev"
2026-06-16 16:58:42.842 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-16 16:58:42.842 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-16 16:58:43.432 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-16 16:58:43.434 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-16 16:58:43.458 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2026-06-16 16:58:44.169 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-06-16 16:58:44.179 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-16 16:58:44.180 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16 16:58:44.181 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-06-16 16:58:44.262 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-16 16:58:44.263 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1421 ms
2026-06-16 16:58:44.649 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2026-06-16 16:58:46.232 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2026-06-16 16:58:49.360 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-16 16:58:49.388 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-16 16:58:49.424 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2026-06-16 16:58:49.436 [restartedMain] INFO  com.project.travel.TravelApplication - Started TravelApplication in 7.186 seconds (JVM running for 7.633)
2026-06-16 16:59:05.171 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-16 16:59:05.176 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
